FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName,Carbs,Calories,Fats,Fibre,Protein,Sugars
152,152,1,26,"Cream, sour, cultured, 18% M.F.","Crème sure, de culture, 18% M.G.",1985-01-01,,,,4.27,188.0,18.0,0.0,3.09,0.16
153,153,1,26,"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.","Lait, concentré, partiellemente écrémé, conserve, non dilué, 2% M.G.",1984-01-01,,,,11.02,92.0,2.0,0.0,7.37,10.04
160,160,1,26,"Cheese, calorie-reduced (6% M.F.)","Fromage, réduit en calories (6% M.G.)",1991-01-01,,,,4.0,200.0,6.0,0.0,23.0,
163,163,1,24,"Cream, table (coffee), 20% M.F.",Crème de table (à café) 20% M.G.,1985-01-01,,,,3.6,201.0,20.0,0.0,2.68,
164,164,19,0,"Dessert, frozen yogourt","Dessert, congelé, yogourt glacé",1990-01-01,,42187.0,,21.6,127.0,3.6,0.0,3.0,19.92
169,169,2,0,"Spices, allspice, ground","Épices, piments de la jamaïque, moulu",1981-01-01,,2001.0,Pimenta dioica,72.12,263.0,8.69,21.6,6.09,
170,170,2,0,"Spices, anise seeds","Épices, anis, graines",1990-01-01,,2002.0,Pimpinella anisum,50.02,337.0,15.9,14.6,17.6,
171,171,2,0,"Spices, basil, dried","Épices, basilic, déshydraté",1981-01-01,,2003.0,Ocimum basilicum,47.75,233.0,4.07,37.7,22.98,1.71
172,172,2,0,"Spices, bay leaf","Épices, laurier, feuilles",1981-01-01,,2004.0,Laurus nobilis,74.97,314.0,8.36,26.3,7.61,
173,173,2,0,"Spices, caraway seed","Épices, carvi, graines",1993-01-01,,2005.0,Carum carvi,49.9,333.0,14.59,38.0,19.77,0.64
174,174,2,0,"Spices, cardamom, ground","Épices, cardamome, moulue",1981-01-01,,2006.0,Elettaria cardamomum,68.47,312.0,6.7,28.0,10.76,
175,175,2,0,"Spices, celery seed","Épices, céleri, graines",1981-01-01,,2007.0,Apium graveolens,41.35,392.0,25.27,11.8,18.07,0.67
176,176,2,0,"Spices, chervil, dried","Épices, cerfeuil, déshydraté",1981-01-01,,2008.0,Anthriscus cerefolium,49.1,237.0,3.9,11.3,23.2,
177,177,2,0,"Spices, chili powder","Épices, chili, poudre",1981-01-01,,2009.0,,49.7,282.0,14.28,34.8,13.46,7.19
178,178,2,0,"Spices, cinnamon, ground","Épices, cannelle, moulue",1981-01-01,,2010.0,Cinnamomum verum & Cinnamomum aromaticum,80.59,247.0,1.24,53.1,3.99,2.17
179,179,2,0,"Spices, cloves, ground","Épices, clou de girofle, moulu",1981-01-01,,2011.0,Syzyghum aromaticum,65.53,274.0,13.0,33.9,5.97,2.38
180,180,2,0,"Spices, coriander leaf (cilantro), dried","Épices, coriandre (cilantro), feuilles, déshydraté",1990-01-01,,2012.0,Coriandrum sativum,52.1,279.0,4.78,10.4,21.93,7.27
181,181,2,0,"Spices, coriander seed (cilantro)","Épices, coriandre (cilantro), graines",1981-01-01,,2013.0,Coriandrum sativum,54.99,298.0,17.77,41.9,12.37,
182,182,2,0,"Spices, cumin seed","Épices, cumin, graines",1981-01-01,,2014.0,Cuminum cyminum,44.24,375.0,22.27,10.5,17.81,2.25
183,183,2,0,"Spices, curry powder","Épices, cari, poudre",1981-01-01,,2015.0,,55.83,325.0,14.01,53.2,14.29,2.76
184,184,2,0,"Spices, dill seed","Épices, aneth, graines",1981-01-01,,2016.0,Anethum graveolens,55.17,305.0,14.54,21.1,15.98,
185,185,2,0,"Spices, dill weed, dried","Épices, aneth, déshydraté",1981-01-01,,2017.0,Anethum graveolens,55.82,253.0,4.36,13.6,19.96,
186,186,2,0,"Spices, fennel seed","Épices, fenouil, graines",1981-01-01,,2018.0,Foeniculum vulgare,52.29,345.0,14.87,39.8,15.8,
187,187,2,0,"Spices, fenugreek seed","Épices, fenugrec, graines",1981-01-01,,2019.0,Trigonella foenum-graecum,58.35,323.0,6.41,24.6,23.0,
188,188,2,0,"Spices, garlic powder","Épices, ail, poudre",1981-01-01,,2020.0,Allium sativum,72.73,331.0,0.73,9.0,16.55,2.43
189,189,2,0,"Spices, ginger, ground","Épices, gingembre, moulu",1981-01-01,,2021.0,Zingiber officinale,71.62,335.0,4.24,14.1,8.98,3.39
190,190,2,0,"Spices, mace, ground","Épices, macis, moulu",1981-01-01,,2022.0,Myristica fragrans,50.5,475.0,32.38,20.2,6.71,
191,191,2,0,"Spices, marjoram, dried","Épices, marjolaine, déshydratée",1981-01-01,,2023.0,Origanum majorana,60.56,272.0,7.04,40.3,12.66,4.09
192,192,2,0,"Spices, mustard seed, yellow","Épices, graines de moutarde, jaunes",1981-01-01,,2024.0,Sinapis alba and Brassica juncea,28.09,508.0,36.24,12.2,26.08,6.79
193,193,2,0,"Spices, nutmeg, ground","Épices, muscade, moulue",1981-01-01,,2025.0,Myristica fragrans,49.29,525.0,36.31,20.8,5.84,2.99
194,194,2,0,"Spices, onion powder","Épices, oignon, poudre",1981-01-01,,2026.0,Allium cepa,79.12,342.0,1.04,15.2,10.41,6.63
195,195,2,0,"Spices, oregano, ground","Épices, origan, moulu",1981-01-01,,2027.0,Origanum vulgare,68.92,265.0,4.28,42.5,9.0,4.09
196,196,2,0,"Spices, paprika","Épices, paprika",1981-01-01,,2028.0,Capsicum annuum,53.99,282.0,12.89,34.9,14.14,10.34
197,197,2,0,"Spices, parsley, dried","Épices, persil, déshydraté",1981-01-01,,2029.0,Petroselinum crispum,51.66,276.0,4.43,30.4,22.42,7.27
198,198,2,0,"Spices, pepper, black","Épices, poivre, noir",1981-01-01,,2030.0,Piper nigrum,63.95,251.0,3.26,25.3,10.39,0.64
199,199,2,0,"Spices, pepper, red or cayenne","Épices, piment rouge ou de cayenne",1981-01-01,,2031.0,Capsicum frutescens or Capsicum annuum,56.63,318.0,17.27,27.2,12.01,10.34
200,200,2,0,"spices, pepper, white","Épices, poivre, blanc",1981-01-01,,2032.0,Piper nigrum,68.61,296.0,2.12,26.2,10.4,
201,201,2,0,"Spices, poppy seed","Épices, pavot, graines",1981-01-01,,2033.0,Papaver somniferum,28.13,525.0,41.56,19.5,17.99,2.99
202,202,2,0,"Spices, poultry seasoning","Épices, assaisonnement pour volaille",1981-01-01,,2034.0,,65.59,307.0,7.53,11.3,9.59,1.8
203,203,2,0,"Spices, pumpkin pie spice","Épices, assaisonnement pour tarte à la citrouille",1981-01-01,,2035.0,,69.28,342.0,12.6,14.8,5.76,7.76
204,204,2,0,"Spices, rosemary, dried","Épices, romarin, déshydraté",1981-01-01,,2036.0,Rosmarinus officinalis,64.06,332.0,15.22,42.6,4.88,
205,205,2,0,"Spices, saffron","Épices, safran",1981-01-01,,2037.0,Crocus sativus,65.37,310.0,5.85,3.9,11.43,
206,206,2,0,"Spices, sage, ground","Épices, sauge, moulue",1981-01-01,,2038.0,Salvia officinalis,60.73,315.0,12.75,40.3,10.63,1.71
207,207,2,0,"Spices, savory, ground","Épices, sarriette, moulue",1981-01-01,,2039.0,Satureja hortensis,68.73,272.0,5.91,45.7,6.73,
209,209,2,0,"Spices, tarragon, dried","Épices, estragon, déshydraté",1981-01-01,,2041.0,Artemisia dracunculus,50.22,296.0,7.24,7.4,22.77,
210,210,2,0,"Spices, thyme, dried","Épices, thym, déshydraté",1981-01-01,,2042.0,Thymus vulgaris,63.94,276.0,7.43,37.0,9.11,1.71
211,211,2,0,"Spices, turmeric, ground","Épices, curcuma, moulu",1981-01-01,,2043.0,Curcuma domestica (C longa),67.14,312.0,3.25,22.7,9.68,3.21
212,212,2,0,"Basil, fresh","Basilic, frais",1993-01-01,,2044.0,Ocimum basilicum,2.65,22.0,0.64,1.6,3.15,0.3
